Date,East of England,West Midlands (England),South West (England),North West (England),Yorkshire and The Humber,South East (England),London,North East (England),Wales,East Midlands (England)
1996,1.0230814005291164,1.0131111994798172,1.0278189405557374,0.9995335096444713,0.9969564149832276,1.0396018610148239,1.055956592982558,1.0017714040274235,1.01266443057632,1.0120550387101555
1997,1.1188855608099195,1.076864091721699,1.1169384017467068,1.0360456612050086,1.0258494937751594,1.161997289494093,1.1974044625679088,1.0336819770512835,1.0605593277120875,1.0732581186391617
1998,1.2299373287304627,1.1493236164739125,1.2214263894151554,1.0876712201181922,1.0702033855531574,1.294124826568757,1.3461747529431884,1.077814113737358,1.1184841811816777,1.1427416057366193
1999,1.3500423021219359,1.2354093864682896,1.3464559370960005,1.1519895903438042,1.120943214809503,1.4322859523942408,1.514724275321264,1.123313241041851,1.1824049483485155,1.2253545390509366
2000,1.5696059310487882,1.3701137283852634,1.5607000045306763,1.2501352014739342,1.207465541174933,1.6823591005295848,1.790142302402309,1.1886892903808577,1.2819045851525372,1.3563153690810112
2001,1.7562417849143424,1.5135513437606736,1.7463212149019511,1.3567456334753862,1.311693914075373,1.868459479314994,1.9913573010029229,1.2739961976582748,1.3877268576172246,1.507351102415565
2002,2.073848170148768,1.7599114211051403,2.073074211651663,1.5545019338914121,1.536071267593395,2.156429484405273,2.2819217807706287,1.4772518134640562,1.5987767179501826,1.7976369385320552
2003,2.4093886214662796,2.110310800536884,2.4255008312997384,1.863245916426977,1.8843439986223816,2.4516157332531234,2.5341228696659845,1.8476204718616143,1.946084145358882,2.1907870909396605
2004,2.6502443902620345,2.4117019293894546,2.702855811753831,2.242355661541276,2.25096912428514,2.667127970172757,2.7324996272229414,2.263832028985864,2.3583118785246464,2.4966262320856356
2005,2.7967789866096022,2.5939310553126456,2.8616553066877253,2.4691845467475844,2.4726707992777373,2.788097863171226,2.85143179962623,2.4758554991635107,2.5830155298603605,2.658304239954031
2006,2.9584502874211305,2.733486267523677,3.0424880931647538,2.623403450469429,2.6352750754040137,2.944847811549471,3.046527628344775,2.606329702660658,2.7406612124224154,2.8008515746565203
2007,3.201101236214331,2.893476770869479,3.284600702689685,2.794978149776756,2.819040622319561,3.206694836142083,3.4366179672536337,2.764783978258959,2.9161761985765344,2.961742746333174
2008,3.150196031783683,2.8340877455406774,3.2034496808824904,2.771303585635653,2.802592425807532,3.1689466965840642,3.4962464468129473,2.732869583821404,2.87290713614635,2.879146186480302
2009,2.8882507654929928,2.608641598085447,2.966676545370477,2.56559293845101,2.576938884899096,2.9151967693115663,3.248135887093385,2.5285465813218644,2.6910143469117624,2.650813385990342
2010,3.062343272350857,2.699799099038222,3.1284410175919395,2.6244923521497268,2.6391673733227883,3.105862801916035,3.506912650409457,2.5569893627940097,2.762652591876792,2.7502033649120325
2011,3.0472069557272374,2.657877011499018,3.0873337017333435,2.568797330756663,2.5842824339474637,3.092181179912205,3.590569242956777,2.487139640038179,2.7150855425574534,2.7130789807306392
2012,3.092498400347989,2.6643270903812244,3.114237513325791,2.546756810487379,2.5640380343691294,3.1490956054061408,3.7655433456169316,2.455929360966697,2.7032565620663,2.7233089105873365
2013,3.1950885867580396,2.721406384734179,3.1886866259395212,2.5689251461712916,2.588306131710849,3.2654993792109788,4.049959535578964,2.467461040657987,2.734429986086513,2.783231952708862
2014,3.470516861775126,2.8528244402173626,3.369941894917683,2.6712277197021304,2.6959181642437886,3.556380346257504,4.63792049800588,2.5386714618088555,2.840790792628425,2.9514701322956687
2015,3.76858437414991,2.97968342069505,3.5572216869976017,2.764019673653982,2.7909940119242402,3.857506984110696,5.082016245874781,2.589005095438436,2.9225150580267982,3.0949216114708933
2016,4.140639451578475,3.1361219791159463,3.7763291883779404,2.879266680379332,2.895520610460632,4.206993744287485,5.596523996721405,2.631448914122887,3.0365708647371696,3.273778361951258
2017,4.424881353705651,3.3059057103288585,3.9685388416786425,3.002105737078832,2.999851096039824,4.42238218634851,5.811976057066754,2.677224909499361,3.144161593866518,3.463369629602372
2018,4.5677357791914615,3.4654197237022673,4.129768405280466,3.123649779041947,3.110331518477567,4.519196882155698,5.801657115881502,2.7195900664504276,3.2993887895130656,3.632502745372588
2019,4.59381650337861,3.567573877384452,4.192084520809086,3.2248967757928266,3.20447158968998,4.513164389006923,5.741406896766378,2.7458716558009404,3.4292905849318913,3.7422081457736907
2020,4.619153311793784,3.623041426293779,4.239698612588896,3.2704240699490956,3.235864279223615,4.544833347324358,5.798660956925256,2.7759062280801725,3.5170968012345063,3.7975065188311246
