Date,Bedfordshire and Hertfordshire,West Midlands,"Herefordshire, Worcestershire and Warwickshire",Shropshire and Staffordshire,"Gloucestershire, Wiltshire and Bath/Bristol area",Dorset and Somerset,Lancashire,North Yorkshire,West Yorkshire,Hampshire and Isle of Wight,Greater Manchester,"Surrey, East and West Sussex",Outer London - South,Inner London - East,Kent,Outer London - East and North East,Cumbria,Northumberland and Tyne and Wear,East Anglia,Essex,East Wales,West Wales and The Valleys,Cheshire,Merseyside,"Leicestershire, Rutland and Northamptonshire",Derbyshire and Nottinghamshire,Tees Valley and Durham,South Yorkshire,East Yorkshire and Northern Lincolnshire,Lincolnshire,Devon,Inner London - West,Outer London - West and North West,Cornwall and Isles of Scilly,"Berkshire, Buckinghamshire and Oxfordshire"
1996,1.0363280049755188,1.0103678305675334,1.0249403869795768,1.0085912540292812,1.0306913094206038,1.0294847447069508,0.9881446506188186,1.0036322324126625,0.9967695867924715,1.0378699800950053,1.0070573914677952,1.0442170814934597,1.0463527061579367,1.063190729709891,1.0272930829007576,1.0413787811725523,1.001114615667951,1.0032343664225618,1.010433835725414,1.023990883786657,1.012505026943636,1.0138899431923707,1.0082236535192741,0.9989000067233452,1.0201476213644864,1.005528515316239,0.9986557816335199,1.0004725488954176,0.9907093220787637,1.0092950553416697,1.0162603220221524,1.076506878762532,1.0558119334590124,1.0292757932086312,1.0416461087554438
1997,1.1592274936231903,1.0691724361560822,1.1070042100193958,1.0618604983832194,1.1195179045317056,1.1305525010161386,1.0203392577073551,1.052622375180911,1.0288277353427837,1.151327762882245,1.0411438031275784,1.1726140566620924,1.1825756556536244,1.2072240839182127,1.1285193439727985,1.1547702344706854,1.0421516338494232,1.0454592786214914,1.0853796255616306,1.1218499659829289,1.0752138145336188,1.0527168790841275,1.0601809046522048,1.0279303080630864,1.0966051145946947,1.0546419864108045,1.019368996055083,1.029399345253631,0.9992583615465435,1.0652464312422543,1.0916365405412536,1.2522300124847696,1.2058176945104313,1.1143474710628758,1.177869832886646
1998,1.29316692005405,1.139392126628472,1.1976278751318288,1.1199873409403114,1.2305400436046934,1.2432588049667728,1.0610394024301957,1.1146781109665203,1.070696306411515,1.2721169971163508,1.0927948609750953,1.3139459156386313,1.332562606105549,1.362215869187041,1.243597557828231,1.294138230281912,1.0943361733129553,1.099660724452852,1.1794195534835226,1.2324016938521112,1.1456161202677653,1.1000499847354241,1.1354780057913532,1.0713426142536266,1.1817480593054541,1.1131795653043415,1.0513137862654334,1.070568319482591,1.0273231761616732,1.1268042875533648,1.1721489332929302,1.3975999172865678,1.3656161776309175,1.2132569462287943,1.3184004401765317
1999,1.4304515229311061,1.21973678333633,1.306648722054297,1.1922058160254427,1.367627130953962,1.373124206499954,1.1058963804259356,1.1866736810541252,1.1221920402384011,1.3980367273411909,1.1616729792476386,1.4571363007378209,1.50169856995949,1.5478869195090383,1.3649295465073163,1.430795741564277,1.1559757113959472,1.158195216147699,1.2879028205078078,1.3486489385423097,1.225243073936698,1.1525827228703815,1.2299813059792275,1.1279700736021272,1.2821784319514529,1.18296399395796,1.081918292937153,1.1241551425722511,1.0538775842352113,1.1988768115436337,1.2705461821381865,1.5653928961667747,1.538850452787444,1.3234168479051311,1.4677584697732602
2000,1.675754807326284,1.3476370797820165,1.474760481220955,1.3071326094518088,1.5974378490219885,1.5959248353718776,1.1768004940799457,1.3267805668595989,1.207789715307152,1.6464982218965056,1.2665766919306445,1.715342613503488,1.792308149834859,1.8451605938651714,1.5873279562870088,1.6888213488712769,1.2365980454271135,1.231784756386332,1.491298306794171,1.5659112089948557,1.3522774006854275,1.2335648555579932,1.365992320929083,1.2254421860673228,1.446008141310603,1.2894400518303952,1.1367608452134037,1.203808081708817,1.1097373693863626,1.3177973639454503,1.4572864964947492,1.837242231043096,1.81527269681026,1.5068255024702406,1.7302618569130939
2001,1.8489095035168042,1.498327447364002,1.627136809912167,1.4312305831321934,1.7759317003243236,1.7717536845599053,1.258848305218233,1.4957666528221543,1.3103703596843086,1.839295802156946,1.3775124850205231,1.9045445547684878,1.975794480481514,2.0706666922034875,1.7696139548451504,1.906158052451297,1.327391465043362,1.3371099266032025,1.681572616327908,1.7593965783793248,1.4873236910792071,1.3186160452846518,1.510519284745388,1.3330696653021656,1.6107317267614814,1.4233547563118776,1.2026833929550151,1.2976318132524496,1.184962376144801,1.4787434773969512,1.6622107195116809,2.0290919988324716,2.007801503428844,1.6921007086045703,1.9074787975187615
2002,2.153817018545109,1.7467964584979199,1.8876401162980094,1.66308979245301,2.0821957410311533,2.101832335462649,1.4382858935132374,1.7835945592856632,1.519599978064528,2.148482552162034,1.5766458742089817,2.1891452993537204,2.2744014675806272,2.362801961214695,2.0676409231385975,2.2545184567377823,1.5090229755247664,1.5811450872363828,2.003183400416395,2.0892261190978703,1.7466582670880162,1.4968874848927005,1.7485080207035921,1.5249715072103405,1.9014257600922841,1.7115854017011867,1.3685733356132053,1.5149997844774876,1.403177536249114,1.7788519354283514,2.016109454622606,2.261998169419372,2.3016521994249604,2.096433018045489,2.182931403830967
2003,2.4868577494431356,2.1056755923547303,2.233791393715179,2.0117757670108416,2.3944818564244095,2.4797628496294775,1.7399001413688908,2.1482683906273716,1.858160043848203,2.465722668007298,1.8770580367339826,2.4808915610226836,2.5722525845200863,2.595841337624548,2.419798648376403,2.5974525336059844,1.8404455148993912,1.997229812887561,2.3245534358262563,2.4532352344856254,2.110588871833649,1.8409921334603294,2.0747066030835635,1.8514688357378304,2.2761534935984264,2.1146592978897294,1.6955460106916387,1.8836556862863458,1.7471223735274815,2.2018424541087076,2.4077234515120733,2.388483953575975,2.5756411774361596,2.5792535694472796,2.4364310952471926
2004,2.695416673815001,2.3947866377042715,2.5156799104862815,2.3533003262731653,2.638062640337421,2.757423587972139,2.1229037742575834,2.483624507920888,2.2007891271763595,2.681259035399988,2.238156051368966,2.6926563534083607,2.773443793076845,2.7984463843688903,2.687519630991539,2.8195820299652006,2.2846166622602206,2.398260054437317,2.593599210340539,2.6952552841370037,2.4627120670910183,2.296074361530522,2.4045610365520744,2.305329073479717,2.5624374899113427,2.434528052512659,2.126069001172982,2.3106693207857854,2.129461509628949,2.525615809008847,2.7395226788666465,2.572391695271764,2.771082995298915,2.9730923967544727,2.624312024686374
2005,2.818972634594473,2.573612067432476,2.682112785980273,2.5603361044773525,2.788699256775014,2.9041632906789823,2.3532757935402215,2.6874031037814876,2.426312793618952,2.7879669303046284,2.477760394758934,2.8137652259247443,2.8764169543162446,2.9362479065711726,2.8398705465624867,2.964145131480027,2.525885717964885,2.588235409243791,2.7507699006761803,2.848172264148233,2.669664641515361,2.539533443122975,2.594680755399754,2.5432360466585267,2.7191541983878413,2.602861639847023,2.3632530100201183,2.548654740868391,2.3380842409112605,2.689644184642737,2.9230402745849218,2.6761951821567806,2.8672632482612808,3.1585988902320494,2.7316040413862166
