Date,East of England,West Midlands (England),South West (England),North West (England),Yorkshire and The Humber,South East (England),London,North East (England),Wales,East Midlands (England)
1995 Q2,1.0049089611239521,0.9999943264331105,1.0053431112617057,1.0026472965631466,1.0007006918217312,1.005909664147643,1.0150363037298753,1.0044607842940154,1.000544855312104,1.0040588659832064
1995 Q3,1.0025894304167215,0.9926010593923631,0.9996184214055097,0.9920044407709515,0.9940993880137361,1.0053309400375496,1.0183851945796165,0.9934310206297815,0.9968876554979451,0.9993329303501449
1995 Q4,1.0072216182662368,1.0038034420247828,1.001365964647851,0.9915992087106478,0.9972883119051045,1.0119886177393125,1.0295356920389311,1.000562036469068,0.9956845748111043,0.9979535887732739
1996 Q1,1.0016538686725225,0.9960095436904548,1.005638703125706,0.9920560446361777,0.9880527484000963,1.018415412300343,1.040435102554766,0.9908892038303679,0.9943492910026415,0.9988891655952913
1996 Q2,1.0141053395541408,1.0044237347739986,1.0197580244577906,0.992455610349447,0.9934303748936025,1.029541474324712,1.059068831823042,1.0064874255573626,1.0052576008056098,1.0056587820574545
1996 Q3,1.0272852975111628,1.0097745774562863,1.0307816012659308,0.990996357370707,0.9892175320162762,1.0478597492762938,1.078453714609933,0.997857309070997,1.0155080108079007,1.014266204035112
1996 Q4,1.0497488332283202,1.0277979408260505,1.0497373111040111,1.0039826595090595,1.0047111412204943,1.0732611062268078,1.1055243070338452,1.0110341734955766,1.0231308176843585,1.027315679827056
1997 Q1,1.0684274692243394,1.0403860768480637,1.0712481702126404,1.0109053782823354,1.0048883989962094,1.1014136681694768,1.1403625400458852,1.0116807148137912,1.0324852569637741,1.0415704319169727
1997 Q2,1.1007342862828198,1.0623644859522388,1.0993911762649726,1.0256236105645964,1.0147896014569284,1.1389898128337559,1.1898253789059572,1.0263321894864323,1.0519511986143377,1.0650603710360707
1997 Q3,1.1327021876168875,1.0819591714338643,1.128382882277267,1.0326729770930931,1.022212579747461,1.1834599219702842,1.2383966861398958,1.036185046829839,1.0636382140536982,1.0794165782900849
1997 Q4,1.1644020301704272,1.1025553489346733,1.1554575618428493,1.0467602712864028,1.0444441950809158,1.2223827348408722,1.278387403573599,1.0517951351193258,1.080893524306567,1.0978298170276366
1998 Q1,1.1866588729181755,1.1161641383236092,1.1786876079627688,1.0636419238427717,1.0476785510918212,1.2493742360537665,1.3091081109942566,1.0601215600059257,1.0899814235822498,1.1099473657936136
1998 Q2,1.2177742408200434,1.1352626797651104,1.207742183936514,1.0756827756755374,1.060860354716859,1.287111719541888,1.3545325932283727,1.0698690668810868,1.1085222627474265,1.1309547957138475
1998 Q3,1.2465443850600628,1.1543471748315608,1.2351349904578564,1.0820422807115921,1.0728670956274784,1.315904865060058,1.3902982210952106,1.0749951876171016,1.118823989243247,1.1492836228142165
1998 Q4,1.2680639463077719,1.1714195499940092,1.2553745343115381,1.099265662926305,1.0818547378234888,1.3390332685726312,1.4106624571535373,1.097532724365006,1.138206878993355,1.1680695381208928
1999 Q1,1.2810544301272488,1.183968325386268,1.2700144391784745,1.1096353678613984,1.0867957926783407,1.3521605470051032,1.4294374089767377,1.0945251582149258,1.14097613924002,1.1777442434077048
1999 Q2,1.3172351280560992,1.2091318446076955,1.3080228527001174,1.1304718091919455,1.1045351227021376,1.3956147914979495,1.4851590647215251,1.1135850433084569,1.1628067765589043,1.2051099017963385
1999 Q3,1.3639879600546758,1.2389233973584495,1.359069274344394,1.1514962603565693,1.119976568448836,1.4547107321040724,1.5615528269005265,1.128120014076241,1.1842283587383347,1.2312050469494256
1999 Q4,1.4259057571594964,1.2777407963022718,1.4240799024428357,1.1755150390281361,1.145587077756604,1.5323552561699958,1.651124848370214,1.143898220208629,1.2145020341680557,1.2647073381667717
2000 Q1,1.4858018673821825,1.306178962886602,1.4752355482749153,1.2003922632274249,1.1589423339706182,1.5987056138095186,1.7249439651388012,1.1599083658863494,1.2354416115911502,1.2952006232364153
2000 Q2,1.555141687565995,1.3489773532615879,1.5503872832666465,1.2271598480844397,1.1897951123387405,1.681709743267565,1.8231727059331444,1.1747256239895243,1.2685141624670702,1.3367109300942321
2000 Q3,1.6123437830715155,1.384565412369094,1.5963237330114228,1.2524851832387824,1.2188013669866609,1.734973098240131,1.86819005868972,1.1946419541765816,1.2905036366155194,1.3774572395495175
2000 Q4,1.6392210006077825,1.415916538874717,1.6230318952058702,1.2787219159328291,1.2330572216787727,1.7570538406801701,1.88477160176419,1.2109204723682507,1.311149668988926,1.4041119731224405
