Date,East of England,West Midlands (England),South West (England),North West (England),Yorkshire and The Humber,South East (England),London,North East (England),Wales,East Midlands (England)
1996,1.022610978929811,1.0126040241880343,1.0278035553160922,0.9987224147117163,0.9967917680357928,1.0393931608262228,1.0560521277599515,1.0022589395048487,1.0123121881266548,1.0120678204971434
1997,1.1186830552537281,1.0766113812648792,1.1170019171045455,1.034691217194028,1.0248958650418807,1.1619293983577805,1.1976896346749903,1.0337401323990607,1.0601566505411606,1.0731187577736472
1998,1.2295906364672982,1.1485979916176756,1.2214266865847316,1.0855676636075409,1.0694146790834353,1.2939908890387721,1.3457155066538011,1.0775617473313976,1.1183504967140316,1.1425745653875363
1999,1.3495222707710417,1.2344279292660756,1.346532766892618,1.1497483739720677,1.1193489855742325,1.432449657387282,1.5155058130519825,1.1226590168141974,1.1823097129750237,1.2245624087626985
2000,1.5686852407928773,1.3686694306955012,1.5604831649583089,1.2471521240298356,1.2058408052677914,1.682293323288189,1.7903784454672793,1.1880150271792698,1.2815908143317785,1.3557007852411582
2001,1.7556326116740353,1.5119228169320553,1.7462550651429622,1.3534630930663067,1.309945349729746,1.8686561625261775,1.9911234824769495,1.2726427195594339,1.3871011702492198,1.506446297486936
2002,2.0742485786821234,1.7586946926804365,2.0745917097054987,1.5509378090199337,1.5339080171653903,2.1574163363927363,2.283123446562274,1.4762281463104734,1.597982224150238,1.7975379494706087
2003,2.4098202014004895,2.1090646727272113,2.427143676219096,1.8585706403990196,1.882479054221331,2.452709235879773,2.534432741396125,1.8481011521117228,1.9468349559022415,2.191868731556839
2004,2.65102260480155,2.4120239449625633,2.7048924160010768,2.2390766460502687,2.2516353964766544,2.6680125390010754,2.7318232213470792,2.266737616236144,2.3623583264992813,2.4991032451292523
2005,2.7960661483781633,2.5943350914010193,2.86287181066799,2.4660287067192823,2.473994338881972,2.7882482098805483,2.8495658703265776,2.4793261811257463,2.588055084602013,2.659394557795693
2006,2.957447890616942,2.732724160663832,3.0428915781299435,2.62001669865863,2.6364520477031537,2.943712098247093,3.043032834134737,2.610466199258982,2.745060406010704,2.8016653966322074
2007,3.1993964182302532,2.8915973759953646,3.2852669353126833,2.7909320315314896,2.819966536460409,3.206410959075569,3.433447122039263,2.7678856897249884,2.9214745892214617,2.962722134952967
2008,3.147442299773589,2.830472987361968,3.201277398211231,2.766002677545081,2.8024074151825764,3.166770438477734,3.4909400415863336,2.7333284685274055,2.8748012653770423,2.8779164642826958
2009,2.883148430316225,2.6027014345003203,2.9630810562402328,2.5559440060254186,2.572172045409261,2.9114304918867373,3.237429957814469,2.5253034602145874,2.6889775929280946,2.6472835864129163
2010,3.056965240231706,2.6941696213190633,3.1245389786131295,2.612273258283389,2.633067251285321,3.102435271102006,3.4971794446588436,2.554403544808411,2.761874554722442,2.7459812704628233
2011,3.042223008377094,2.6511170625375615,3.082812214260335,2.5566951610267177,2.5773414780450725,3.0871955011599748,3.5787312434904845,2.4833910608683625,2.7135185826303627,2.70832472118558
2012,3.086005204584846,2.6577437146354947,3.108250791602545,2.533311560344055,2.555340629312703,3.143262775995197,3.751301790842759,2.4499955044862047,2.698661794940326,2.7165839359929436
2013,3.188239869542684,2.7121124950923114,3.181398530596198,2.553850206659635,2.578569707952771,3.258950569785508,4.034277647974402,2.4604007893544333,2.7277235432277704,2.777006369132448
2014,3.463849663898455,2.8444189379257465,3.3636125343995404,2.6560972784910706,2.686170311811026,3.5515583393753674,4.626946688541793,2.5310035910603057,2.8350355195916754,2.9457312359228687
2015,3.7621368131648563,2.971331278710768,3.548914625478182,2.7464074763765822,2.7795654141032284,3.851632897325181,5.06586393135718,2.5781769815754587,2.9143646799965333,3.088716739683567
2016,4.1330491032973145,3.1264536195258077,3.768440979888618,2.859841181427907,2.883718374057644,4.19832240445076,5.571824571520398,2.620686668626214,3.026769860126065,3.265824922725865
2017,4.407704938588147,3.294425597074327,3.956066722404205,2.9822856732987595,2.98556766158624,4.406183317797163,5.770909817365496,2.6651258079071733,3.133853779502632,3.4535889529549815
2018,4.546455235441055,3.4501487462769433,4.11285561383098,3.101095664103635,3.095828409757553,4.4992393869951925,5.761978149098715,2.705850093380883,3.28696329447286,3.6190501801030965
2019,4.5768105655085,3.5502099861618617,4.176928120300585,3.203574442612535,3.189216218548372,4.49766618814405,5.714429677356751,2.7340539639350308,3.418535257249873,3.728650237545175
2020,4.688676834442627,3.6850051795699645,4.323857577112543,3.3440558481561036,3.324599535461,4.611601793360157,5.903616341560343,2.8214468727360504,3.5819009478730743,3.881766514921144
2021,4.850552767998422,3.8324898437328274,4.500544523829886,3.518364518820618,3.4797029874501186,4.783875084614201,6.037378462086174,2.9256683084442257,3.7573523431514744,4.035886031795831
