Date,Hertfordshire,Birmingham,Worcestershire,Dudley,Sandwell,Walsall,Staffordshire CC,Warwickshire,Solihull,"Bath and North East Somerset, North Somerset and South Gloucestershire",Somerset,East Lancashire,Blackburn with Darwen,Mid Lancashire,Calderdale and Kirklees,Bradford,Bournemouth and Poole,Dorset CC,Central Hampshire,Greater Manchester North East,Greater Manchester North West,Brighton and Hove,East Sussex CC,West Sussex (South West),Bromley,"Bristol, City of",East Cumbria,West Cumbria,Northumberland,Cambridgeshire CC,Cardiff and Vale of Glamorgan,Bridgend and Neath Port Talbot,Central Valleys,Cheshire West and Chester,Wirral,Flintshire and Wrexham,Heart of Essex,Essex Thames Gateway,West Essex,Essex Haven Gateway,Suffolk,Croydon,East Surrey,East Kent,Coventry,Cheshire East,Kent Thames Gateway,Bexley and Greenwich,Derby,South and West Derbyshire,Durham CC,Darlington,North Yorkshire CC,"Barnsley, Doncaster and Rotherham",East Riding of Yorkshire,North and North East Lincolnshire,Lincolnshire,Redbridge and Waltham Forest,Tower Hamlets,Hackney and Newham,Enfield,Barnet,Devon CC,Cornwall and Isles of Scilly,Blackpool,Lancaster and Wyre,Gloucestershire,West Surrey,North Hampshire,Berkshire,Brent,Harrow and Hillingdon,Buckinghamshire CC,"Herefordshire, County of","Kingston upon Hull, City of",Breckland and South Norfolk,"Merton, Kingston upon Thames and Sutton",Hounslow and Richmond upon Thames,Liverpool,Sefton,East Merseyside,Chorley and West Lancashire,Powys,Leicestershire CC and Rutland,Leicester,Conwy and Denbighshire,Gwynedd,Leeds,Luton,Manchester,Greater Manchester South West,Greater Manchester South East,Medway,Mid Kent,West Kent,Milton Keynes,Bedford,Haringey and Islington,Camden and City of London,Tyneside,Sunderland,South Nottinghamshire,North Nottinghamshire,East Derbyshire,Nottingham,West Northamptonshire,North Northamptonshire,Oxfordshire,Gwent Valleys,Monmouthshire and Newport,North and West Norfolk,Norwich and East Norfolk,Westminster,Ealing,Peterborough,Plymouth,South Hampshire,Portsmouth,Isle of Wight,West Sussex (North East),Thurrock,Barking & Dagenham and Havering,Sheffield,Swansea,South West Wales,Lewisham and Southwark,Central Bedfordshire,Wiltshire,Southampton,Southend-on-Sea,Stoke-on-Trent,Wandsworth,Lambeth,Kensington & Chelsea and Hammersmith & Fulham,Shropshire CC,Telford and Wrekin,Torbay,South Teesside,Hartlepool and Stockton-on-Tees,Warrington,Wakefield,Wolverhampton,York,Swindon,Isle of Anglesey
1996,1.0394936448972907,1.0110022280651954,1.026244174727828,1.0026406910586287,1.0142961064809446,1.009586310930882,1.0121697624323065,1.026706052917088,1.0219298799923653,1.030705491442276,1.0189398700150751,0.9969406349610852,0.9985376863988537,0.9918194379071649,0.9947980020190089,0.9918652278931556,1.0362922163143113,1.034622761774054,1.0455812825861222,1.00381963855788,1.0070346322827732,1.0555768937091836,1.031910297695694,1.0474670914409556,1.045260044603099,1.037891373494373,1.0098363881034733,0.9908680513956822,1.0026630773540648,1.0194148369158547,1.0144622788608633,1.0124997168525744,1.0027319008284663,1.008884304287128,0.9960898783166772,1.0127455730484334,1.0339748492510454,1.028062912520268,1.023543539676759,1.0121134199394288,1.0148137268318655,1.0502333583871446,1.040742219261367,1.0376583154860965,1.0015189719215094,1.0073751961493391,1.0152842917712301,1.036259508743472,1.0058872280453228,1.0099677279849872,1.0086734305204708,1.0024299095590368,1.0049416707467551,0.9947629250810469,0.9973707022411243,0.9961255520768462,1.0087702142738915,1.0499580674247355,1.0647803820037376,1.0517410471303186,1.0453965958938753,1.0640991133814541,1.0241635249277217,1.030940162363269,0.9730410074207094,0.9978432076943976,1.0317474654777192,1.0471669704109696,1.0369080080692892,1.0436207516055278,1.0708277101960513,1.0438499976778945,1.0426578275628757,1.018336884321506,0.9764019463356426,1.0027703099181522,1.0443326537917754,1.0502189009814016,1.0037407124914262,0.9955048686060477,0.9937545386660355,1.0060811890147174,1.010640206795407,1.019490785305591,0.998893962678807,1.0098940600221382,1.036249217972666,0.9995752671745217,1.030692491413742,1.0016442651912032,1.0143104862969194,1.0035792738216978,1.011245177385816,1.0195134890966104,1.0360980801663011,1.0301106642433007,1.022532223588934,1.07054847684435,1.1089960503933214,1.0043469753112646,1.0071695673193533,1.0093505717364002,1.0023928156513806,0.9958211697681254,1.0055903389493035,1.0360041115966818,1.0135941291088062,1.0406473827617517,1.0091749234430425,1.0080386529123586,0.9962978789148027,1.002871469656784,1.027800903352419,1.0593702719943467,0.9995167511514564,0.9841822320463438,1.032412597719217,1.03623137690628,1.0348579850593957,1.0353206009449292,1.0131794415359208,1.034275509133519,1.0086003433018373,1.01896201282515,1.0248722505896533,1.048056907935411,1.0278127092193705,1.0269967156401563,1.027602568668328,1.0312083212564753,1.0023475904094437,1.0752264871771626,1.0902477705815488,1.0900952694988804,1.0242969987605792,0.9945726004517478,1.0167587576636643,0.9888419345653128,0.9906556525348046,1.0059757898045976,1.0088814208359724,1.0018467619120992,0.9994514807542652,1.0258815569380881,1.0199770432075974
1997,1.174682114566394,1.0744620323093403,1.1036588914216379,1.0519261801467532,1.0437369021316738,1.0570279014412245,1.0694040327208203,1.1212558393605656,1.1047781977365094,1.115965975681445,1.0944789840515383,1.0002915344148406,1.0294255179253056,1.0266699800742982,1.0247389195069991,1.0087027029536269,1.1602985871972886,1.1476893534186483,1.1603787526497724,1.0335724823336154,1.029409081461103,1.1813833291028322,1.1298682954181638,1.1756389486952346,1.1754911050284582,1.141790693328831,1.0458354363900928,1.0373879605421648,1.0524532730255505,1.1082296243536527,1.0847293508772933,1.0444824744068,1.022710700880979,1.05524063433462,1.0448876206821773,1.0516556367351757,1.1532982749356968,1.121616616350298,1.1270642338366959,1.096658621109157,1.092293428029434,1.1778502479414952,1.1917472236399793,1.124010259802506,1.0692699686217446,1.07096536271466,1.1097100455270175,1.1495293802842055,1.041761861343828,1.0623866519409675,1.0318729232125265,1.0390301580984078,1.0531504604474975,1.019586783068468,1.011053599164096,1.0197688057679282,1.0652658569762892,1.1610000511854985,1.2117919306837432,1.1702164818568155,1.171755469952043,1.201497681691987,1.1034868353660596,1.1159289410036781,1.0220377891318795,1.0352846958591957,1.1208499219488712,1.1946327788597464,1.180035755150856,1.1944296425164442,1.2166872213999889,1.1865797382884078,1.1847793349178983,1.078635896101066,0.953448244198811,1.0697518921793938,1.1885939073906227,1.212535662264952,1.0249431277690249,1.0307772829460369,1.0150149250045268,1.0508219268303565,1.0777460386233968,1.0873252704392473,1.0444211345890222,1.0571064232723288,1.083790972852084,1.042929674564439,1.1189067625044202,1.0368708253187906,1.0638426227088817,1.0454275110855134,1.10490586610486,1.1231813036042357,1.1732356849656014,1.1260644041543706,1.115460776944938,1.2385685668090047,1.2599208204594574,1.0470586520068426,1.0308540082166155,1.0771264843059865,1.0464163594521836,1.0305734067128385,1.0581582755235346,1.145577550259218,1.0779500924091079,1.1719566475323835,1.0579699641744482,1.07494148882172,1.0605341109287796,1.0686755074014986,1.200828168646121,1.22554933797929,1.0551601605402674,1.0463959137455325,1.133437477732871,1.1374323743315236,1.138320663951966,1.1603007063350599,1.0944684796357682,1.1342334577034963,1.0461241427914356,1.0555931362763826,1.0658387251880646,1.1837756485224087,1.1425512075689523,1.120454535238693,1.1307253036704785,1.1450042629947403,1.0343174910383288,1.270784753656788,1.2396351913426047,1.2709557814403896,1.0860213414660005,1.0391697501165995,1.0930884092667124,0.9938497872041813,1.0139432655291,1.0469565468139443,1.0378710380090612,1.0623146026247676,1.051782904673894,1.0977592873885649,1.0854199229924957
1998,1.3161133621398131,1.1461566593406771,1.1891902738643456,1.1097524853381537,1.0862706629117032,1.1061683081025986,1.1364425826911655,1.2220209646274394,1.2242444892903477,1.2201856318313014,1.1895041842993923,1.0290880819626276,1.053384958057195,1.0648655790015125,1.0573400044787507,1.0421724489338169,1.2919502236713947,1.2658819776793526,1.291149679309991,1.0697590030055846,1.0592941514048075,1.3165162483223498,1.2517781172285816,1.3024094927195287,1.3321046362478544,1.2596161660481981,1.1028793652311244,1.0823795406980068,1.1008280285527143,1.227940093836278,1.1608604746300626,1.0791306642338163,1.056380810119977,1.1282718906270939,1.1047899218974846,1.1115631516636602,1.2804454127251588,1.2240539607488616,1.2414812489898956,1.2038586217726701,1.1855357131255881,1.3203023438268477,1.3389910330176218,1.220724526746128,1.1563716925021543,1.1507996233573152,1.227417192273486,1.2955273138415369,1.1013275549670518,1.1224846174476715,1.0730885148277218,1.0744761116172448,1.1164842200862253,1.0501669344194744,1.042652737717492,1.058048808385281,1.1264892898444931,1.2969673854641872,1.3652554857359886,1.3073759333927635,1.30840809186019,1.3551863622170648,1.1924560501455896,1.2154623090195074,1.0551836209171321,1.0791825527840306,1.228509639218664,1.3522346083878964,1.3189724123098905,1.3410354312746329,1.3841545777049311,1.3327691637825343,1.329998462582275,1.15646373605713,0.9543959540848846,1.1536197648676938,1.339095681915989,1.3881289355323179,1.058163203476998,1.0934193312716378,1.0410188244113103,1.1076121476219318,1.1381692584480034,1.1573886439885008,1.1159587297405413,1.108513659530017,1.1464574760128172,1.1002835335969068,1.2282695527172516,1.1114020732681757,1.1344462429669053,1.0992372034287665,1.215001919362102,1.2416437976731096,1.3082160780358003,1.2468439018857973,1.2408399388233686,1.4045611009530377,1.4150766983769096,1.1083294418436478,1.0683055026373975,1.1444936318051608,1.0955945867547152,1.082705169095147,1.109903045601212,1.2591211154504316,1.1610358738057827,1.3098126223645263,1.1014446922306245,1.1484167710302986,1.1419326063282413,1.1391964495712799,1.3228807671420002,1.3837563269394537,1.126892622212398,1.0971712221904963,1.2409559744278904,1.2406948233953496,1.2478826879946758,1.3100205331876376,1.1962713139098284,1.268359502332544,1.1026558609750368,1.090713674169241,1.135071159448927,1.3193880613282853,1.2630899386016312,1.2388764193273725,1.24110931912111,1.2517290790174416,1.0537042657632163,1.4487560241344668,1.4242844756861712,1.4027926955023424,1.1517713785193906,1.0835986379487204,1.170983835690386,1.025037806522605,1.0283984918967277,1.1150516509050035,1.0681207347652129,1.1064738509663365,1.1120325781983944,1.2145232517570377,1.1286428223227976
1999,1.4568414082664873,1.2346007130424308,1.290572649908846,1.177019720107567,1.1404157134678934,1.1648653986831912,1.2103593014875762,1.3351722228464278,1.3396658056069601,1.3505681924522983,1.3080081977067706,1.0534083057137706,1.0728835084801809,1.1262298370195174,1.1004556288308462,1.077087863905102,1.4293280228339567,1.404068539502758,1.4226317468295564,1.1165785611839976,1.1020961801986557,1.4998162957168018,1.3701851073435611,1.431340841424049,1.4991584237472104,1.425436849727564,1.1649351854218821,1.142668198460985,1.1560958112114832,1.3412684808619801,1.2537481573431781,1.1206459526323713,1.100476145081703,1.2261605741221353,1.1727300436657797,1.177396895822929,1.4071627167370788,1.3344323734975019,1.3759086234209266,1.3110110362909984,1.3057894862765276,1.484494185475419,1.4887221338387395,1.3352557106389853,1.242346607391517,1.249547545339259,1.3368708624738983,1.436193678373506,1.1787509419581221,1.1935280691659929,1.1111471112167792,1.1066648203872818,1.1844263321410295,1.0904446460923027,1.0763770423359689,1.0828937470772746,1.1976634658360776,1.4432151176680892,1.527277503032062,1.5067236674604427,1.4508875120519202,1.5142050961407518,1.300308216328032,1.3253301719868686,1.097439968725484,1.1358706295807641,1.3506634574775154,1.5087994505195064,1.4617215378275952,1.5012766769302655,1.5622465197458644,1.4985758112830818,1.469933267192116,1.273613738919151,0.9671938668339276,1.2593961024928872,1.511106215559413,1.558855734829901,1.0990868628840633,1.1547709772657428,1.0945738726429848,1.1609257894128753,1.1863073392669499,1.248761468886948,1.1889624738028628,1.1777683319200047,1.2181015487139684,1.1693722561896711,1.3658006972512093,1.2046590137137352,1.2271726778328327,1.187173154454681,1.3372336320161406,1.3608204804494801,1.4446725260482995,1.3736107779658393,1.3651843832847714,1.5897688557677345,1.5806145014753423,1.1701297089601348,1.1175729581290903,1.2331406322544451,1.1498519821859943,1.1285470818881165,1.1813665435026368,1.3834644933542597,1.2579973772787294,1.4601471102854506,1.148103527473162,1.2211641253286298,1.2436045519959629,1.2309211941409914,1.462505381167315,1.5912749935590274,1.2083824304128001,1.1707550407198544,1.35175789573893,1.349557671003802,1.3804452570551606,1.4564559722714197,1.2912930913402634,1.38771135378891,1.1720633440050547,1.148389633801771,1.1702093475305149,1.5047555408618858,1.389630234781618,1.3810834554613391,1.3656030949952414,1.367188991805807,1.0876531748450566,1.663468031937221,1.6306306581576182,1.5612404629534251,1.2447619491950612,1.148987605565163,1.2589262528481495,1.046448636078423,1.0520543788936685,1.1922321439176724,1.1079573750236276,1.1719647701121838,1.194526227369556,1.3725635185089384,1.2153920916617909
2000,1.7108866486859657,1.3710807576883002,1.4644710190300547,1.2802036908582946,1.2113082751783208,1.2717435375000832,1.331679757130442,1.4942901926364356,1.5228095744249717,1.5793750238101834,1.5127820678072204,1.1181592220131362,1.1234732747336065,1.1985834792773395,1.1668318608233808,1.1472127043542195,1.6679037195800668,1.6360992487462869,1.681649676384359,1.1956048967235338,1.1782626206708093,1.8478451255826298,1.6033853533987563,1.682352919444681,1.777589049257738,1.6595588862899229,1.2558941120292106,1.2107572016352108,1.2241000257788457,1.558127979770995,1.4038212022512446,1.1834356456650896,1.1655999345818184,1.3593864273687304,1.282742879807008,1.2860620428892076,1.6344866682245516,1.5487101053525159,1.6006568073470686,1.5226229113420409,1.5167429054149293,1.7826366365209885,1.7502279810915662,1.5522339725995464,1.3948761585854432,1.388106837230291,1.5571371181722145,1.6838303213994426,1.2919464567040018,1.3122327302492907,1.171750196251647,1.165713914141089,1.3119507645124697,1.1494282825413464,1.1495381162749048,1.1314120835848898,1.3175013322679232,1.7216528566263993,1.7803826424596092,1.8116743792428522,1.732616804178956,1.7933287097611779,1.5023288583418342,1.5082719537243658,1.1551315876104793,1.2110193186533602,1.5649010061773037,1.770639206155414,1.72296192362954,1.7871970662633896,1.8854035413169337,1.7635179906657419,1.7166891629575325,1.4471987561848094,1.0009616840750652,1.4663600348237498,1.8030429223594153,1.8401521199263753,1.18609388661506,1.250950529498831,1.1885264162975662,1.25371159266155,1.3024381101645217,1.3961929309786747,1.294953760588703,1.2668219589696856,1.3166262574994227,1.2877511009833065,1.6015096265940265,1.3372565380677164,1.3582317030540838,1.305183616817987,1.5461690298938753,1.588486451415363,1.6862265001392858,1.6087307683518053,1.5882531327944351,1.8737778705828405,1.8612093017317595,1.2504465522831925,1.1753841055478682,1.371419096122601,1.2249050290045727,1.221191358033951,1.2776834799960557,1.5983934951167473,1.4197382678427153,1.7179442925419393,1.224149393929098,1.3293523436261228,1.4213821642473343,1.437542074399698,1.6700004615191963,1.8565079917206884,1.3579862604577622,1.317815240149202,1.5847026897552936,1.560897604277714,1.631228736925969,1.7202756421152439,1.515618571942183,1.6206574047975357,1.287347782651129,1.2353759031062757,1.2576904099435806,1.8147406461943751,1.6217416475320678,1.6167668953391565,1.6261939410170658,1.5763464926159725,1.1287308971181875,1.9878367057198885,1.979360984027309,1.8321927452601532,1.399045544899933,1.2585919062385418,1.4376491475150428,1.0898397421518318,1.104472921458526,1.3297130259777838,1.1722461971047398,1.2849967245748417,1.3733442195296293,1.640677328944847,1.3120312101755265
2001,1.8865298812844626,1.5320618099235965,1.6218606198106087,1.4287973382335093,1.3407363820640066,1.3904054776526245,1.4567259947807125,1.6456266189461122,1.6667540833548544,1.7550710595597183,1.6770294736561957,1.1699691101729894,1.170293086740573,1.3057461528242702,1.252104262979198,1.2252006672896327,1.8460844386408715,1.8223883300196855,1.87148947709213,1.2811441207662644,1.2694666832910362,2.106444866764401,1.7912563335971337,1.884046355296462,1.947437689253167,1.8633913971230807,1.3537047913014706,1.2882945464720472,1.3175401094728134,1.7486882697391637,1.5513448067002489,1.24575568350697,1.2325998061443142,1.5036033500342327,1.402118996829161,1.4095243880597412,1.8339451624992058,1.754823438748174,1.7758741880058908,1.7129018651845913,1.6997151826028873,1.9919440541754483,1.9262990307524832,1.7455382994194848,1.5607342032496163,1.5346607229850495,1.7516675672741213,1.9000228534942822,1.4407743899749148,1.4594501640741668,1.2349290346033714,1.2632030670436918,1.4632340209522507,1.2247366675676301,1.2485051936869191,1.2016573699126933,1.4773811474434582,1.9494688498417103,2.022657254627842,2.0691618947318404,1.9358502426212878,1.991629433095258,1.7107429923808695,1.6953422929155115,1.2252217608693603,1.298511379777296,1.74323321876122,1.9454202812460901,1.8873325026694556,1.9638516521258944,2.0780945671286903,1.9624084577934129,1.8826723453993817,1.5888379108308144,1.0425671331088284,1.6638855088595388,1.9827239701344506,2.011657244304018,1.2897719735769182,1.3870169115400255,1.2738265219005118,1.3644342436727201,1.4161685806535111,1.5585680454236197,1.45182666486723,1.3762475926024875,1.420894032252078,1.4299219050071672,1.7689667645642801,1.444836605085257,1.5040727850005493,1.440929935640555,1.7379358562948262,1.7396202655488553,1.8613695652698785,1.792431448754901,1.741185552591593,2.0771476100628092,2.0668447482179007,1.361452026895739,1.2788299018368499,1.540188234485254,1.315230030170533,1.3140377854765901,1.4328038997018182,1.7658745015087978,1.5867318775169361,1.8982006038359587,1.3042056696892663,1.449083051318789,1.6232882174805496,1.6357292688390965,1.8595562194079052,2.0598798264582685,1.5440457769548936,1.5133194040580649,1.794157744984901,1.7540856566088738,1.851159563274267,1.9092698313368788,1.713595602250963,1.8344824997932667,1.412133212311167,1.3028046547746412,1.3748824076798685,2.0375203907247483,1.7944609619952223,1.7863513399762347,1.8238019399279985,1.771563125791223,1.182622750585026,2.1777244383796637,2.198462289728774,2.0120164330512593,1.5580765904774567,1.3960436364679478,1.6365534697721837,1.1510471483004447,1.1622051109984,1.4730622765639683,1.2596304818058395,1.4210423951623303,1.5982593007116521,1.8093200120678077,1.4183685096708916
2002,2.1851805207243458,1.7906053710402001,1.8825172275497641,1.6834201621019258,1.5690082062289357,1.6345706155661135,1.6931119578915061,1.9100264485353304,1.9277131857277983,2.083001971814753,1.9922859176386205,1.3053770770743667,1.2754980267025327,1.5120237512356678,1.4454699150066337,1.3727529702224568,2.2077732521223523,2.1439791679949463,2.1661900938009637,1.472657348919766,1.4390035151201928,2.4748227990424683,2.102254199213085,2.206376827729025,2.2352058452604475,2.2498191013188347,1.5689315383833284,1.4354535102426387,1.5457852999464885,2.0425373783563665,1.8349348186856562,1.3650671044700045,1.3819123752084437,1.73410721458235,1.6272197120073533,1.6449225175359765,2.1778572012796134,2.080754850960407,2.0715163703877137,2.0499799486636623,2.0220561708837494,2.320581133726759,2.1845801297775838,2.0607700770545283,1.8031851842794087,1.764861882888758,2.050260933597525,2.220144962772861,1.748144302714166,1.7335430011881237,1.3976011531093835,1.453167055404606,1.7396862211669275,1.4204599791470354,1.526216877064607,1.4016277199963514,1.7787933750053413,2.3406037946736173,2.2789553611616,2.4088530844657727,2.263755899401258,2.2922299624606803,2.076561018029052,2.1041391629091595,1.4176202901981185,1.5185157659172732,2.042698533972455,2.2024684653500874,2.1541840260471408,2.224709184586102,2.4180358313455423,2.2770006640895017,2.1453060962855033,1.8368078680644895,1.2103391979076326,2.0076451702175024,2.276863294744552,2.2790235962234884,1.4606315283180913,1.6019008110916466,1.4521868239224516,1.571316435120619,1.670694647045479,1.852946319904895,1.7887033665187604,1.6413513986615103,1.6801594127588997,1.6871096043895903,2.1051583209460984,1.64392489395439,1.728998255932827,1.649794339017885,2.056483623133254,2.0295027840895883,2.1386141127263336,2.1308676794330443,2.069362738515675,2.36366053283568,2.312922245437707,1.6245379796965096,1.4941031689713489,1.8533522503893334,1.5925699240436197,1.5419945495848273,1.783067518510455,2.0465635566790343,1.8779721355693437,2.1893168466362747,1.475212598118128,1.6748986288235583,1.953087591114107,2.0041971423695712,2.0838594502920866,2.34618012149464,1.8624905704763437,1.8754035466823982,2.1221921067025544,2.109064384623414,2.1881880388933244,2.190425225726962,2.0666364292900106,2.2069144095073723,1.6672432083926807,1.4627981079932033,1.5847904009103073,2.3620586696802857,2.110986079395896,2.0535466428723983,2.1916731358157953,2.139139269322901,1.3375482751543215,2.441946869868338,2.4522513613441226,2.2151899742007832,1.834614285559198,1.6827658325309023,1.958026739210138,1.296616059971528,1.3373148810857167,1.7441525544274197,1.502385897470435,1.674135646297709,1.9336657543998501,2.0874468694695847,1.6363782854173206
2003,2.500251683791274,2.172520314023963,2.243164089500103,2.0114705644813013,1.933765655894857,1.9799090612129475,2.0661639573388864,2.241872371222143,2.2789063009036905,2.4123123228862418,2.380231298967456,1.52218154940046,1.5421761416357103,1.8611203001634193,1.793272455098763,1.6484284093297998,2.59442654205251,2.502289494875953,2.4718208260374026,1.755141256680168,1.7653532132418779,2.7639355460348396,2.469354342545489,2.5596329078657862,2.5412873055294996,2.580807919981546,1.9300033306679576,1.7338608934303081,1.986822733386046,2.33506124863325,2.193954427627928,1.66940202962202,1.6701343869749399,2.059251573353162,1.9771422746512803,2.0203031367447712,2.536680958928035,2.485353873637294,2.380222575972352,2.4166402808338523,2.3602500526213324,2.6556296817926572,2.46469045566094,2.4453181595441325,2.154518281452944,2.0922938175662105,2.4395525189050535,2.5419824431259,2.1960788785427834,2.1399658594556947,1.7408980856927612,1.853394432061924,2.1200244643415895,1.8025298278891047,1.9072956904658769,1.78202059304024,2.2021233836287903,2.6947383263891935,2.4497887389773605,2.717604928231093,2.574815052508367,2.5774547994296233,2.4880395565077906,2.588709012286157,1.7254848519543553,1.8793458615110523,2.3605344063510576,2.4344673857759727,2.4181630065033723,2.441493455534972,2.7407889298866186,2.5942854976943233,2.418103239830652,2.196266707091722,1.4754635200993917,2.3380161991860455,2.5529068074401025,2.498253392305929,1.7632640654202172,1.945215097824629,1.7799889140425291,1.9406961367022635,2.0457340951628837,2.246144385677313,2.2357382572989315,2.02837842934017,2.1153459947147333,2.0549308526974515,2.5372814921082307,1.871702053481851,2.0557376877521962,1.9832308357619366,2.435262136860414,2.3757908504397336,2.420857652535766,2.4812393685852854,2.416772665513675,2.5662749275612153,2.450353342216544,2.0507694206238787,1.8530993324793046,2.2670295540630687,2.0095569356848926,1.9433315615858755,2.1528289097159887,2.3925687676003276,2.245607366694151,2.4555701749849947,1.8145748774768515,2.0505152739525734,2.3061395049649995,2.3326438765849002,2.2024104683840036,2.621649375392418,2.1851859100705817,2.2154695153606405,2.471765839429896,2.4695298313930456,2.5586617686989417,2.506065029497869,2.4659892708240947,2.6006520995855573,2.0192389933239756,1.8010462415880626,1.99572298708374,2.6263058278480473,2.4603251349986865,2.376503797365606,2.5517058740346137,2.5246874016740932,1.6214678128166424,2.5924761377824077,2.651303823744273,2.3069451345436045,2.1979473283837327,2.040359601257332,2.3408161963962444,1.5836581457363816,1.6511905460268597,2.071340274465993,1.9062071216237149,2.024836432532272,2.2670848684303757,2.3325270694600913,2.057143277170344
2004,2.7032509253678962,2.431271921236067,2.5264884503622884,2.297520183325998,2.2490987524262485,2.3045025311155705,2.3945037649444365,2.5134251194133084,2.549464888119037,2.673353598560977,2.6899801094165916,1.8795579510961875,1.9523615938354266,2.2610530432881646,2.186836824700683,2.008241946231014,2.849614120782465,2.7622476337388293,2.6771006250135927,2.1461589688063665,2.1594245973676225,3.0414746016613887,2.7035538178283596,2.7933277822311613,2.7460076199147228,2.837596180747324,2.3647597479444804,2.2052183080911196,2.396140536224322,2.5792700887808726,2.5203946361954395,2.0944214365297773,2.068631427505264,2.4027314285105636,2.4481598480895057,2.4298533180989113,2.772488740150661,2.7227603543674843,2.5798886851380147,2.671202357253036,2.6278550143631842,2.8607054694955654,2.6509260796450165,2.784023531660476,2.502142137931476,2.4061692127658576,2.6769996298774306,2.750590025657577,2.525933888233938,2.4722631877708294,2.185138898883922,2.2696478588149946,2.4618195990309264,2.2403016860712115,2.293296538816956,2.1830259848368665,2.5264139465694146,2.934352576451656,2.623176109825244,2.9079092723153215,2.76611605024963,2.7814300430829357,2.801955575496424,2.9857617399515317,2.1252421445770966,2.292207650194924,2.6260614531321034,2.597585479551678,2.5878563375164414,2.6127974228844817,2.943810120225869,2.7943894147046207,2.604471396268075,2.520776077356904,1.8337057896270033,2.6183783067993462,2.748567801678384,2.6870591909539834,2.274956338556418,2.325178950390082,2.214298615230517,2.334548568781035,2.429327535269444,2.549771302251019,2.584072973099102,2.4330790402303455,2.642470968180193,2.360069315805623,2.756763991758322,2.165520484842649,2.4216909359532277,2.3450652367692952,2.69364004724938,2.622561674259536,2.655873851002843,2.714893275645955,2.659267192930176,2.7715631206398244,2.6236109226372317,2.4614740748941424,2.232742758699577,2.51834788271116,2.3724524666754405,2.335436260597684,2.3911598331975576,2.645393337902709,2.539114136373858,2.6470427588971206,2.2569585013660656,2.422128258391724,2.6009642218687397,2.617238388786923,2.345784768684891,2.802552343854769,2.479257692437362,2.5995409382955157,2.688986185451208,2.722511500473868,2.915495941079541,2.7305848797897103,2.703715000961131,2.8460472279893043,2.443423102124936,2.3216708065462552,2.51156073349597,2.8211675958473923,2.6732231739275942,2.6206515667105994,2.757720602118772,2.839071809967021,2.0494754885062947,2.808009045119417,2.8813785492034527,2.485158546756537,2.5275882931732836,2.349410718132906,2.672766371611529,2.030461975080114,2.0558991666294157,2.425564361876581,2.2430411194557647,2.3349189545844116,2.590732092276403,2.5004655753857588,2.625607786214391
2005,2.8053746268773825,2.598294490591852,2.6828149744546677,2.4841956919269386,2.4445584625784726,2.5033759408584815,2.5975217715639927,2.6848279962709225,2.6995093050955528,2.8278313111603772,2.8433201892991056,2.160320055854201,2.220186791141757,2.4807408832521087,2.433506466475164,2.2789596616967054,2.9560100066771837,2.9386716196866267,2.7825258460403197,2.4117683091174755,2.4117692499490397,3.2060692363310084,2.8461411780888537,2.931134085673115,2.841999959309092,3.0017692115564083,2.5730060219064534,2.491210499297144,2.6056622249422343,2.7058382430494436,2.7061574069594445,2.3371953369813294,2.306023426264362,2.5893667170165893,2.6601861997216205,2.671017147026171,2.9042587829233826,2.8678252848691597,2.7097367023203978,2.8257046148092924,2.7909575251069945,2.9758869969657695,2.7547969715473775,2.968390660433841,2.6978687064724194,2.6018597349010824,2.816537094472725,2.902557955431684,2.7177244108672722,2.6655077422579567,2.4357900395128356,2.457833122429952,2.6827769867456506,2.513450338673494,2.484585108424728,2.3856579108433276,2.689867884890184,3.0832010813603783,2.732746072224879,3.093371734765085,2.8841407820635783,2.8372338202430667,2.9754295452382125,3.1686613193030286,2.335063658354786,2.4835349588314863,2.801177785926113,2.6807958285473714,2.6382436640141407,2.696032149691343,3.0907628040828765,2.8930419701077357,2.7091045357881494,2.704623117601022,2.0715844135613946,2.798055211060088,2.8465691901810937,2.769504632865169,2.5019081406390273,2.5825831934558865,2.460289854025389,2.526435571304402,2.687961208709559,2.702128566565635,2.7129450786123184,2.6875228163653406,2.93479126342363,2.549039478309396,2.919342921646243,2.3884046079172983,2.6406558546121586,2.5912457974907404,2.8427603701721003,2.7764510047343527,2.7736691142082637,2.8480116167500675,2.831041441172488,2.886085653160314,2.731270537352572,2.6286531702787532,2.4743359235554316,2.6393653917427238,2.527014529019765,2.5850206985842767,2.5233487623082045,2.7991085843944865,2.708042692740603,2.7693652743406023,2.518073347116583,2.6301632941347024,2.7863032653309077,2.7678823204315344,2.437221742553706,2.9140967965068216,2.6486928253814632,2.815778629068874,2.7987874556566092,2.8388277808244315,3.1516732174196425,2.8335436976481194,2.890752897352828,2.9877528955559494,2.644771806150796,2.5005985734880056,2.7602244938343072,2.9711289672470733,2.8171723673504934,2.7646007778770922,2.854957848136431,3.0139576488283217,2.296861339931385,2.9286389507083395,3.005766057590257,2.569222157322576,2.7245633015065875,2.5277626896231844,2.8536731700781957,2.289184623312871,2.2790910643193465,2.616083497355731,2.4642548077226443,2.5421749865049645,2.7601387459848126,2.5618476790286815,2.911764800934135
