Date,Bedfordshire and Hertfordshire,West Midlands,"Herefordshire, Worcestershire and Warwickshire",Shropshire and Staffordshire,"Gloucestershire, Wiltshire and Bath/Bristol area",Dorset and Somerset,Lancashire,West Yorkshire,Hampshire and Isle of Wight,Greater Manchester,"Surrey, East and West Sussex",Outer London - South,Cumbria,Northumberland and Tyne and Wear,East Anglia,East Wales,West Wales and The Valleys,Cheshire,Merseyside,Essex,Kent,Outer London - East and North East,Derbyshire and Nottinghamshire,Tees Valley and Durham,North Yorkshire,South Yorkshire,East Yorkshire and Northern Lincolnshire,Lincolnshire,Inner London - East,Outer London - West and North West,Devon,Cornwall and Isles of Scilly,"Berkshire, Buckinghamshire and Oxfordshire","Leicestershire, Rutland and Northamptonshire",Inner London - West
1996,1.0346743931986382,1.0087626443128583,1.025593985997913,1.0084448007851756,1.0301646827331161,1.0287774392451112,0.9879979487623192,0.9969268289478028,1.0376085252301734,1.0060290884875953,1.043450608710578,1.0456147396536684,1.000617351741153,1.0028932350095705,1.0102563822675907,1.0121200951376534,1.0125680917315019,1.006972834230753,0.9967593985519086,1.022899501782723,1.0258527412763343,1.0415195912712198,1.0057056939720763,0.998310712269842,1.004477491803405,1.0007287594515364,0.9896816924823237,1.0089796136570734,1.061745884754132,1.055555113734805,1.0157896634314776,1.0298391598790297,1.0412463291124667,1.0204039931554836,1.074910780165353
1997,1.1596882952154324,1.068577713223053,1.1079790104997707,1.0626243806286493,1.1195717072883866,1.13059748744279,1.019407890555422,1.027183955688846,1.1515901418001269,1.0395005686476184,1.1729901222761103,1.1827349710559387,1.0419835683695153,1.044904617819358,1.0856189448537095,1.074696273758301,1.052242952532231,1.0596982586494659,1.0266156747077237,1.1219899757465917,1.1274848422167447,1.1549631582000965,1.0547012882260747,1.0187946548616231,1.0525418826295505,1.0282108182099114,0.9978232476071769,1.0661622731042915,1.2081355907198477,1.2074529332522876,1.091796114378429,1.1168665262339361,1.1779384359488203,1.0962962832304632,1.25728662689957
1998,1.2925049345175925,1.1378226252869954,1.1984845727263245,1.1197454079487796,1.2304049805161914,1.243492258060314,1.058634820564432,1.0695694754000573,1.2718614300054176,1.0903357790777404,1.3146752885744866,1.3340294010432288,1.0929996268316646,1.0986485057552557,1.179570439474143,1.1445598573282674,1.1000600844316106,1.13463636245446,1.0693010039446926,1.232707974601274,1.2420584566156603,1.293550889726062,1.1125926179161736,1.0504304925936114,1.1145240951276922,1.0703632889751868,1.0245313603307324,1.1273877903291218,1.363778601958417,1.36776859427492,1.1717268113672796,1.2156943973886458,1.3190798286533196,1.1818466126288107,1.4005460143887996
1999,1.4306249731857696,1.218071728330797,1.3069359767435929,1.1920648301554475,1.368692220936969,1.3731987942362387,1.1035652273814642,1.1197743139050322,1.3987933079357222,1.1581286903207837,1.4587081112158276,1.5043003399871138,1.155346619463117,1.1569307177266794,1.287767697240569,1.22453282438111,1.1512179938971492,1.2295513925102022,1.1235653276959319,1.3490126117477068,1.3638974233551249,1.4318579056129135,1.1821534343267917,1.0801981113164412,1.1859812051119094,1.1226276732133709,1.049492024246456,1.1969910079603285,1.5532678625198764,1.5432044389227728,1.2703832559582922,1.3257929636524561,1.4688544974580036,1.2812330494277293,1.5725855436690803
2000,1.6769283968253794,1.3456820376132321,1.4761345102516872,1.3057112923958782,1.5990838846726438,1.5971505910785375,1.1726263575768339,1.2047481246173133,1.6473168841480041,1.2604154854790235,1.7190777207510322,1.7965669163609226,1.2357171647740164,1.229057897773886,1.4917850627279496,1.3515381306938294,1.2320888764434137,1.3651211268831571,1.2199559200659658,1.5676819087530391,1.5873436278340831,1.6912140326208156,1.2874463255384319,1.1339471671251597,1.3270436598628823,1.2015254595244031,1.1043755300877858,1.317639143415247,1.8542872684166463,1.8220566492523864,1.4571883845197726,1.5095413657598908,1.7323906814611953,1.445856596816631,1.8464658058556076
2001,1.8500758703978069,1.4960004502645943,1.628856559747319,1.4301576590943619,1.7785843465928672,1.7741630937815325,1.255129457317953,1.3063656673895114,1.8413649826224507,1.3723154690191606,1.9087689325214297,1.9796523022171328,1.3245221671942187,1.334043214683852,1.6838781890448247,1.487428072925715,1.3154140482429892,1.5107350374896908,1.3271818867661904,1.7628033960907288,1.7702957811118876,1.9102167753640773,1.4222758136917508,1.1980935723344088,1.4940640503582745,1.294757640409146,1.1786646917220613,1.4777971202898683,2.082642128033343,2.0138506866274075,1.6632862033461406,1.6973181109360012,1.9106710357759729,1.6109714801598058,2.038407115072639
2002,2.1583789666401807,1.7478579966055117,1.8905356278634602,1.6632472463435433,2.088018056056835,2.1072933771475766,1.435257019569639,1.5182336428536853,2.1533993663247437,1.570691278942479,2.1972582130358926,2.2809375793060402,1.511789780329958,1.5823421473206964,2.0086495775783275,1.7485330841554951,1.4958594810617714,1.7500920515481697,1.522264042481237,2.097661195688932,2.0711984464234194,2.264360192580282,1.7136435854665553,1.3639613192283364,1.7872213403845794,1.5146592277823139,1.3969818505256004,1.7820346745563431,2.378671617809727,2.312165028852832,2.0239954888596445,2.114616629746018,2.1866820357582117,1.904878048444223,2.2738683642056015
2003,2.4922221851356468,2.1125325396382753,2.2415203250149434,2.015620553631291,2.403210840928834,2.4909230508912654,1.7400156045411925,1.8624262736068908,2.4723524151588316,1.8739355464053888,2.4928757690219,2.5812587078091678,1.8459588451119127,2.007613071695889,2.33483010948116,2.1189898732050345,1.846578003728261,2.0812995547506583,1.855173794920075,2.467334800361414,2.4273493092967855,2.6112237453203386,2.1254412683379154,1.6973025716476788,2.158015147892929,1.8887687815264087,1.7456089304497504,2.2133247851835103,2.6122964211767257,2.5888165699373973,2.4185168181632197,2.608205739868998,2.441434419151608,2.2839005926891103,2.398181367129374
2004,2.702906009034164,2.408648649678385,2.5253909390369476,2.36815994144904,2.650123391035209,2.770379767928323,2.134955319642922,2.215470683917253,2.6893404710632653,2.2451583400145907,2.7041760895191227,2.781750524200944,2.299569690008579,2.4244078785837875,2.6066446577642735,2.478915126847066,2.3168629303549833,2.420510543308979,2.3332184172099497,2.710893027282297,2.6982499731039753,2.834311879310907,2.4513578806885756,2.141645599887274,2.498995320867378,2.3330061207128256,2.139326717303012,2.5428786551171947,2.8167796368997853,2.7842809828249373,2.7567263995914955,3.0113501041431943,2.630251643354281,2.575011426313964,2.582898835952268
2005,2.824017574651658,2.5904176185126,2.6936960730498805,2.5768835248926427,2.799294100713972,2.9148589643129332,2.372191318878154,2.4481784774983595,2.7953664443443245,2.4914531249311156,2.8230872454251013,2.8820434582894334,2.5448743213578284,2.620452985090708,2.7628251829102832,2.6902931647476116,2.571024812725479,2.614609990205767,2.579013822219078,2.8614347294966134,2.8498583517457012,2.975862615643588,2.623313168791236,2.3910616010874777,2.703256906763161,2.5791985793459187,2.3514027251950993,2.7069766328631144,2.952938163047116,2.877347478320721,2.939660688323883,3.1976442913209713,2.7370219289261644,2.7321327409682388,2.682460487771724
