"","Date","East of England","West Midlands (England)","South West (England)","North West (England)","Yorkshire and The Humber","South East (England)","London","North East (England)","Wales","East Midlands (England)"
"1","1995-02-01",1.0167,1.0092,1.0117,1.0139,1.0079,1.0023,1.0053,0.9895,0.9894,0.9941
"2","1995-03-01",1.0182,1.0054,1.0087,1.0151,1.0086,1.0036,1.0188,1.002,0.9964,0.9983
"3","1995-04-01",1.0137,0.9943,1.0088,1.0117,1.011,1.0046,1.0167,1.0036,0.9892,0.9993
"4","1995-05-01",1.0185,1.0037,1.0091,1.0156,1.0017,1.005,1.0229,1.005,0.9994,0.998
"5","1995-06-01",1.0172,1.0131,1.019,1.0128,1.007,1.0143,1.0316,0.9998,0.9976,1.0082
"6","1995-07-01",1.0155,1.0012,1.0035,0.9993,1.0029,1.0047,1.0263,0.9925,0.9872,0.9973
"7","1995-08-01",1.0135,0.9953,1.0075,1.0016,0.996,1.0086,1.028,0.9885,0.9905,0.99
"8","1995-09-01",1.0146,0.9961,1.0096,1.0047,1.002,1.0083,1.028,0.9924,0.9979,1.0035
"9","1995-10-01",1.0107,1.0072,1.003,0.9947,1.0019,1.0091,1.0379,0.9943,0.9796,0.9905
"10","1995-11-01",1.0223,1.006,1.0058,1.003,1.0029,1.013,1.0335,0.9944,1.0001,0.9974
"11","1995-12-01",1.0239,1.0126,1.0154,1.0083,1.0053,1.0189,1.0459,1.0061,0.9914,0.9991
"12","1996-01-01",1.0095,0.9957,1.01,0.9921,0.9892,1.0136,1.0462,0.9911,0.9892,0.9952
"13","1996-02-01",1.011,1.0056,1.0158,1.0111,0.9948,1.0205,1.0531,0.9832,0.9904,0.9906
"14","1996-03-01",1.0182,0.9999,1.0144,1.0042,0.9971,1.0273,1.0516,0.991,0.9899,1.0036
"15","1996-04-01",1.0179,1.0067,1.0198,0.9933,0.9994,1.0254,1.0653,0.996,0.9986,0.9963
"16","1996-05-01",1.0239,1.0076,1.0268,0.9997,0.9947,1.0301,1.0634,1.0012,0.9968,1.0022
"17","1996-06-01",1.0361,1.0143,1.0344,1.0133,1.0035,1.0395,1.0791,1.0169,1.0046,1.0102
"18","1996-07-01",1.0323,1.0083,1.032,0.9957,0.9942,1.0431,1.0766,0.9932,1.0088,1.0021
"19","1996-08-01",1.0413,1.0122,1.0379,0.9998,0.9912,1.0476,1.0877,0.9969,1.0077,1.0149
"20","1996-09-01",1.0451,1.0251,1.0458,1.0085,1.0021,1.0589,1.0997,1.0018,1.0138,1.0192
"21","1996-10-01",1.0474,1.0268,1.0497,1.0105,1.0078,1.0662,1.1008,1.0086,1.0166,1.0201
"22","1996-11-01",1.0658,1.034,1.0569,1.0113,1.0047,1.073,1.1168,1.0075,1.0174,1.0232
"23","1996-12-01",1.0722,1.0372,1.066,1.0212,1.0188,1.0854,1.1276,1.0109,1.019,1.0321
"24","1997-01-01",1.0743,1.0395,1.0676,1.0098,1.0009,1.0935,1.1354,0.9999,1.0214,1.0298
"25","1997-02-01",1.0765,1.0396,1.0796,1.0213,1.0097,1.1017,1.1485,1.0061,1.0256,1.036
"26","1997-03-01",1.0917,1.056,1.0861,1.0294,1.0214,1.1155,1.1669,1.0204,1.0324,1.0499
"27","1997-04-01",1.0999,1.0555,1.0936,1.031,1.018,1.1248,1.1779,1.0181,1.0371,1.0513
"28","1997-05-01",1.1111,1.067,1.1065,1.0349,1.0207,1.1408,1.2009,1.0251,1.0421,1.0608
"29","1997-06-01",1.1273,1.0777,1.1185,1.0422,1.0238,1.1561,1.2193,1.0278,1.0579,1.0728
"30","1997-07-01",1.1343,1.0762,1.1246,1.0366,1.0228,1.1691,1.236,1.0261,1.0498,1.0669
"31","1997-08-01",1.1471,1.0893,1.1388,1.0423,1.0265,1.1887,1.2454,1.0366,1.0555,1.0781
"32","1997-09-01",1.1572,1.0972,1.1447,1.052,1.0369,1.1991,1.2659,1.0413,1.0698,1.0862
"33","1997-10-01",1.1682,1.1004,1.154,1.0511,1.0454,1.2146,1.275,1.0453,1.0724,1.0864
"34","1997-11-01",1.176,1.1089,1.1655,1.0574,1.0511,1.2226,1.2856,1.0481,1.0678,1.0997
"35","1997-12-01",1.1909,1.1145,1.1728,1.0638,1.0546,1.2365,1.3091,1.0554,1.0831,1.1011
"36","1998-01-01",1.1933,1.1119,1.1766,1.0681,1.0438,1.2414,1.3059,1.0517,1.0794,1.1002
"37","1998-02-01",1.2028,1.1251,1.1856,1.0754,1.0553,1.2513,1.3146,1.0639,1.0797,1.1077
"38","1998-03-01",1.2052,1.1253,1.1953,1.0771,1.0621,1.2612,1.3373,1.0602,1.0919,1.1129
"39","1998-04-01",1.2194,1.1305,1.2061,1.0813,1.0606,1.2757,1.3469,1.0615,1.0937,1.1227
"40","1998-05-01",1.2304,1.1395,1.2136,1.081,1.0679,1.2896,1.3685,1.0671,1.1036,1.1301
"41","1998-06-01",1.2455,1.1493,1.2265,1.0959,1.0725,1.3012,1.3815,1.0731,1.1077,1.1319
"42","1998-07-01",1.2516,1.1542,1.2333,1.0898,1.0753,1.3086,1.3905,1.0693,1.1111,1.1409
"43","1998-08-01",1.2614,1.1619,1.2464,1.0919,1.0756,1.3201,1.4068,1.0705,1.1105,1.1445
"44","1998-09-01",1.2706,1.1637,1.2507,1.0985,1.0883,1.3268,1.4105,1.0797,1.1162,1.154
"45","1998-10-01",1.2734,1.1736,1.2581,1.1069,1.0834,1.3305,1.4181,1.0928,1.1262,1.1582
"46","1998-11-01",1.2791,1.1738,1.2614,1.1107,1.0888,1.3429,1.4173,1.0926,1.1322,1.1647
"47","1998-12-01",1.2956,1.1841,1.2733,1.1142,1.093,1.3517,1.4331,1.0997,1.137,1.1718
"48","1999-01-01",1.2911,1.1793,1.2723,1.1153,1.0864,1.3439,1.427,1.091,1.1349,1.1663
"49","1999-02-01",1.2911,1.1946,1.2753,1.1234,1.0902,1.3546,1.4399,1.0883,1.133,1.1731
"50","1999-03-01",1.305,1.1957,1.2883,1.1252,1.1002,1.3633,1.4555,1.0966,1.138,1.184
"51","1999-04-01",1.3163,1.2059,1.3015,1.1345,1.1055,1.3803,1.4693,1.1089,1.1543,1.1917
"52","1999-05-01",1.3312,1.2131,1.3161,1.1435,1.1097,1.396,1.495,1.1102,1.1571,1.204
"53","1999-06-01",1.3482,1.2247,1.3331,1.1483,1.117,1.4163,1.527,1.115,1.1586,1.211
"54","1999-07-01",1.3601,1.2341,1.3485,1.1529,1.1155,1.4352,1.5466,1.1178,1.1662,1.2175
"55","1999-08-01",1.3787,1.2485,1.3695,1.1677,1.1307,1.4596,1.5784,1.1245,1.1848,1.2277
"56","1999-09-01",1.4024,1.2525,1.3911,1.1704,1.136,1.4826,1.604,1.1332,1.1856,1.2406
"57","1999-10-01",1.4216,1.2715,1.414,1.1786,1.1463,1.5084,1.6348,1.1319,1.2004,1.2451
"58","1999-11-01",1.4397,1.2816,1.4353,1.1842,1.1473,1.5349,1.668,1.1411,1.2075,1.2624
"59","1999-12-01",1.4667,1.2972,1.454,1.2005,1.1653,1.5645,1.6945,1.1521,1.219,1.2779
"60","2000-01-01",1.4826,1.3019,1.4618,1.1984,1.1567,1.5749,1.7081,1.1531,1.2271,1.2731
"61","2000-02-01",1.4975,1.3106,1.4761,1.2126,1.1599,1.5961,1.7341,1.153,1.222,1.2903
"62","2000-03-01",1.523,1.3229,1.5091,1.2238,1.1787,1.6261,1.7679,1.1649,1.2362,1.3068
"63","2000-04-01",1.5482,1.3375,1.5358,1.2295,1.1892,1.6571,1.8114,1.1657,1.2522,1.3144
"64","2000-05-01",1.5721,1.3501,1.5636,1.2376,1.1933,1.6777,1.8339,1.1773,1.2567,1.3332
"65","2000-06-01",1.5967,1.3737,1.5813,1.2518,1.2058,1.716,1.8685,1.1751,1.2746,1.3506
"66","2000-07-01",1.6186,1.3789,1.5953,1.2549,1.2155,1.7238,1.8756,1.1824,1.2745,1.3596
