"","Date","Bedfordshire and Hertfordshire","West Midlands","Herefordshire, Worcestershire and Warwickshire","Shropshire and Staffordshire","Gloucestershire, Wiltshire and Bristol/Bath area","Dorset and Somerset","Lancashire","North Yorkshire","West Yorkshire","Hampshire and Isle of Wight","Greater Manchester","Surrey, East and West Sussex","Outer London - South","Inner London - East","Kent","Outer London - East and North East","Cumbria","Northumberland and Tyne and Wear","East Anglia","Essex","East Wales","West Wales and The Valleys","Cheshire","Merseyside","Leicestershire, Rutland and Northamptonshire","Derbyshire and Nottinghamshire","Tees Valley and Durham","South Yorkshire","East Yorkshire and Northern Lincolnshire","Lincolnshire","Devon","Inner London - West","Outer London - West and North West","Cornwall and Isles of Scilly","Berkshire, Buckinghamshire and Oxfordshire"
"1","1995-02-01",1.0156,1.0027,1.0056,1.0246,1.0168,1.013,1.0039,1.0034,1.0098,1.001,1.0112,0.9936,1.0068,1.0014,1.0084,1.0094,1.0372,0.9871,1.0151,1.0201,1.0192,0.9738,1.0189,1.0322,1.0167,0.9787,0.9993,0.9977,1.0217,0.9996,0.9943,1.0027,1.0051,1.038,1.0103
"2","1995-03-01",1.01,1.0052,0.9993,1.0142,1.0211,1.0147,1.0049,1.0147,1.0128,0.9994,1.0246,0.9985,1.0116,1.0348,1.0074,1.0188,1.0411,1.0078,1.0179,1.0273,1.0117,0.985,1.01,1.0194,1.0058,0.9946,0.9961,1.0051,1.0036,1.0008,0.9874,1.0191,1.0084,1.008,1.0088
"3","1995-04-01",1.0149,0.9835,0.9949,1.0065,1.017,1.0113,1.0117,1.02,1.007,1.0062,1.0118,1.003,1.0098,1.015,1.0057,1.0194,1.039,1.0116,1.0096,1.016,1.0016,0.9806,1.0158,1.0113,1.0191,0.9887,1.0006,0.9895,1.0281,0.9999,0.9922,1.0249,1.0107,1.0183,1.003
"4","1995-05-01",1.0142,0.9933,1.0002,1.0188,1.017,1.0157,1.0079,1.0095,1.0002,1.0075,1.0273,1.0036,1.0145,1.0359,1.0048,1.0182,1.0277,1.0025,1.0207,1.0227,1.0042,1.0024,1.0221,1.008,1.0172,0.9891,1.0097,1.0045,1.0004,0.9998,0.9845,1.011,1.0246,1.0273,1.004
"5","1995-06-01",1.0147,1.006,1.013,1.0184,1.0289,1.0184,0.9891,1.0137,1.0063,1.0074,1.0232,1.0151,1.0283,1.05,1.0094,1.0343,1.0457,1.0016,1.0168,1.0204,1.0064,0.9962,1.0292,1.0113,1.0348,1.0011,1.0009,1.0004,1.0144,0.9917,1.0014,1.0146,1.0251,1.0339,1.0196
"6","1995-07-01",1.0105,0.9914,1.0078,1.0081,1.0108,1.007,0.9925,1.0055,1.01,1.0059,1.0048,1.0032,1.0145,1.0356,1.0033,1.0121,1.0195,0.9952,1.0146,1.0231,0.9949,0.9833,1.014,0.9968,1.0174,0.9867,0.9935,0.9941,0.9966,0.9966,0.9865,1.0324,1.0301,1.0206,1.0045
"7","1995-08-01",1.0098,0.986,0.9978,1.0108,1.0162,1.0064,0.9921,0.9992,0.9901,1.0064,1.0072,1.0086,1.015,1.0434,1.0058,1.0179,1.0072,0.9919,1.0136,1.0156,1.0007,0.9837,1.0191,1.0038,1.0084,0.9819,0.9868,0.9867,1.0079,0.987,0.995,1.0384,1.0247,1.0152,1.0105
"8","1995-09-01",1.0105,0.9929,0.9981,1.0022,1.0232,1.0105,1.0003,1.0065,1.0018,1.0085,1.0071,1.004,1.021,1.0416,1.0032,1.0103,1.0182,0.999,1.0135,1.0211,1.004,0.9943,1.0273,0.9979,1.0243,0.9934,0.9927,1.0087,0.9958,0.9998,0.9847,1.0263,1.0359,1.0165,1.0134
"9","1995-10-01",1.0055,1.0048,1.0016,1.0175,1.0109,1.0074,0.9812,1.0181,1.0048,1.0083,1.007,1.0054,1.0188,1.0603,1.0073,1.0139,1.0212,0.9954,1.0117,1.0081,0.9906,0.9735,1.02,0.9776,1.0063,0.9884,1.0002,0.9885,0.9945,0.9853,0.9817,1.0621,1.0387,1.0328,1.0133
"10","1995-11-01",1.0233,0.9957,1.0094,1.0173,1.0175,1.0121,1.0004,1.0205,1.0055,1.0145,1.0164,1.0104,1.0226,1.0464,1.0091,1.0128,1.0149,1.0047,1.0213,1.0223,1.001,1.0019,1.0108,0.9855,1.0167,0.9855,0.9876,1.0022,0.9914,1.0011,0.9735,1.0608,1.029,1.0255,1.0155
"11","1995-12-01",1.0269,1.006,1.0212,1.0131,1.0334,1.0075,0.9957,1.0206,1.0027,1.0197,1.0169,1.0168,1.0405,1.0646,1.0106,1.0259,1.0288,1.0003,1.0117,1.0318,0.9984,0.9852,1.0227,1.0031,1.0225,0.9925,1.0135,1.007,0.9933,0.9951,0.9904,1.0497,1.0459,1.0364,1.0246
"12","1996-01-01",1.0232,0.9864,1.0032,1.0023,1.0167,1.0119,0.979,0.9986,0.9886,1.0114,1.0051,1.0156,1.0258,1.0778,1.009,1.0168,1.0082,0.9794,0.9924,1.0171,0.9832,0.9921,1.0214,0.9743,1.0214,0.9799,1.009,0.9869,0.9897,0.9956,0.9903,1.069,1.0475,1.0267,1.0141
"13","1996-02-01",1.0212,1.0002,1.0165,1.0037,1.0309,1.02,0.9855,0.9958,0.996,1.0173,1.0326,1.0194,1.0402,1.0855,1.0097,1.0212,1.0354,0.9894,1.0035,1.0109,1.0107,0.9774,1.0121,1.0076,1.0197,0.9766,0.9771,0.9975,0.9957,0.9759,0.977,1.0594,1.0612,1.0411,1.0294
"14","1996-03-01",1.0179,0.9883,1.0019,1.0177,1.0318,1.009,0.9796,1.0024,0.9941,1.0291,1.0234,1.0276,1.0328,1.0837,1.013,1.0338,1.0297,0.9971,1.0128,1.0205,0.999,0.985,1.0211,1.0006,1.0239,0.9925,0.9869,1.0024,0.9852,1.0027,0.9889,1.0552,1.0498,1.0247,1.0308
"15","1996-04-01",1.0214,1.0051,1.0024,1.0127,1.0338,1.0282,0.9715,1.0063,0.9953,1.0263,1.0029,1.0259,1.0528,1.0699,1.0215,1.0345,1.0158,0.9913,1.0143,1.0217,1.0067,0.9933,1.0199,0.9943,1.0239,0.9784,1.0024,1.0016,0.9996,0.9963,0.9931,1.0647,1.0856,1.0193,1.0259
"16","1996-05-01",1.0345,0.9906,1.0247,1.0138,1.0374,1.0236,0.9822,1.0068,0.996,1.029,1.0117,1.03,1.0496,1.0949,1.0177,1.0428,1.0251,1.0088,1.0112,1.0276,1.0092,0.9917,1.0202,1.0008,1.0216,0.9958,0.9921,0.9846,0.9949,0.9981,1.0086,1.0697,1.0553,1.0485,1.0364
"17","1996-06-01",1.0425,1.0039,1.0325,1.0149,1.0536,1.028,0.9926,1.0138,1.0075,1.0369,1.0259,1.0388,1.0583,1.1016,1.029,1.0565,1.0482,1.0159,1.0225,1.0412,1.0227,0.9947,1.0297,1.0098,1.0325,1.0007,1.017,0.9952,0.9974,1.0073,0.9986,1.1121,1.073,1.0544,1.0471
"18","1996-07-01",1.0386,0.9974,1.0164,1.0175,1.041,1.0367,0.979,1.0097,0.9918,1.0373,1.0073,1.0437,1.0517,1.0928,1.0338,1.0568,1.0076,0.9942,1.0227,1.0347,1.0075,1.0088,1.0225,0.985,1.0264,0.9835,0.9948,1.0023,0.9804,1.0112,0.9967,1.0975,1.0814,1.0647,1.0493
"19","1996-08-01",1.059,1.0013,1.0283,1.0191,1.0508,1.0494,0.9853,1.0035,0.994,1.0451,1.0177,1.0472,1.0736,1.0968,1.0369,1.0594,1.0095,1.0025,1.0229,1.0438,1.0221,1.0038,1.0175,0.9953,1.0404,0.9978,0.9974,0.9785,0.9901,1.0156,0.9966,1.1227,1.0828,1.0532,1.0542
"20","1996-09-01",1.0559,1.0152,1.0421,1.0271,1.0571,1.055,0.9819,1.0241,0.996,1.0553,1.026,1.0624,1.0751,1.1155,1.0396,1.0711,1.0333,1.0083,1.0275,1.0535,1.0353,1.0054,1.0327,1.0043,1.0463,1.0074,0.9951,1.0118,0.9949,1.0034,1.0112,1.1447,1.095,1.0544,1.0661
"21","1996-10-01",1.0594,1.016,1.0398,1.0356,1.0648,1.0525,0.9845,1.0365,1.009,1.0616,1.0324,1.0735,1.0931,1.1086,1.0465,1.0687,1.0409,1.0178,1.0321,1.048,1.0355,1.0053,1.0245,0.9939,1.0508,1.0008,1.0005,1.0045,0.9866,1.0188,1.0179,1.1286,1.1019,1.0615,1.0702
"22","1996-11-01",1.0799,1.0206,1.05,1.0399,1.071,1.0591,0.9918,1.0151,1.0111,1.0705,1.023,1.0788,1.091,1.1437,1.0504,1.0864,1.0371,1.0114,1.0479,1.07,1.0261,1.0118,1.0369,1.0094,1.053,1.0069,1.0047,1.0048,0.9941,1.0208,1.0232,1.1459,1.1168,1.0719,1.0783
"23","1996-12-01",1.0903,1.0323,1.055,1.032,1.0829,1.0712,0.9993,1.0472,1.0173,1.0789,1.0359,1.0876,1.1,1.1474,1.0657,1.1068,1.0448,1.0271,1.0485,1.084,1.0312,1.0144,1.0432,1.0223,1.0645,1.0188,0.9969,1.0242,0.996,1.0181,1.0263,1.1615,1.1228,1.0787,1.0948
"24","1997-01-01",1.0985,1.0244,1.0584,1.045,1.0771,1.0719,0.9916,1.0166,1.011,1.0859,1.0271,1.0974,1.1143,1.1573,1.0724,1.0973,1.0207,1.0093,1.0524,1.0768,1.05,1.0035,1.0353,0.9981,1.069,1.004,0.993,1.01,0.9731,1.0235,1.0337,1.1784,1.1352,1.0958,1.1037
"25","1997-02-01",1.0997,1.0216,1.061,1.0469,1.0933,1.1002,1.0071,1.0366,1.0095,1.0966,1.0338,1.1018,1.1232,1.1744,1.0854,1.1029,1.0525,1.0168,1.0523,1.0826,1.0419,1.0176,1.0408,1.0018,1.0663,1.0162,0.9953,1.0151,0.9926,1.0325,1.0317,1.2188,1.1332,1.0826,1.1113
"26","1997-03-01",1.1182,1.0487,1.0699,1.057,1.1027,1.0917,0.9931,1.0407,1.029,1.1036,1.0436,1.1219,1.1353,1.1898,1.0926,1.1276,1.0434,1.029,1.0612,1.1052,1.0604,1.0203,1.0718,1.0283,1.0862,1.0307,1.0118,1.0222,1.0031,1.0334,1.0463,1.2248,1.168,1.1047,1.1289
"27","1997-04-01",1.1298,1.0416,1.0776,1.0555,1.1096,1.1054,1.0014,1.053,1.0183,1.1165,1.0469,1.1311,1.1509,1.1909,1.0921,1.1381,1.0665,1.0295,1.0694,1.1092,1.052,1.0301,1.0619,1.0191,1.0992,1.0243,1.0087,1.0137,1.0014,1.0333,1.047,1.2383,1.1766,1.1079,1.1396
"28","1997-05-01",1.1414,1.0475,1.0898,1.0717,1.1184,1.1197,1.0124,1.0594,1.0197,1.1309,1.0473,1.1479,1.1653,1.2168,1.114,1.1489,1.066,1.0391,1.0808,1.1189,1.0628,1.0331,1.067,1.028,1.0995,1.0347,1.0139,1.028,0.9921,1.0578,1.0616,1.2687,1.2072,1.1219,1.1531
"29","1997-06-01",1.1614,1.0606,1.1077,1.0771,1.1349,1.1289,1.0164,1.0578,1.0218,1.1452,1.0524,1.1623,1.1925,1.2482,1.1263,1.1665,1.075,1.0408,1.0918,1.1384,1.0766,1.0485,1.0751,1.0351,1.1122,1.0499,1.0164,1.0277,1.0041,1.0641,1.07,1.2816,1.2228,1.135,1.1718
